mol,rmsd,hitmap,ID,Active
Fc1ccc(CNC(=O)C2=C(O)C(=O)N(C)C(C3C(O)COC3)=N2)cc1,0.56735522,29 41 42 44,Active_61,1
S(=O)(=O)(C)c1c(CNC(=O)C2=C(O)C(=O)N(C)C(C3COCC3)=N2)ccc(F)c1,0.56735522,32 48 49 51,Active_62,1
Fc1ccc(CNC(=O)C2=C(O)C(=O)N(C)C(C3CCOCC3)=N2)cc1,0.56731737,30 33 34 36,Active_63,1
Fc1cc(-n2c(C)ncn2)c(CNC(=O)C2=C(O)C(=O)N(C)C(C3COCC3)=N2)cc1,0.56735522,36 49 45 47,Active_64,1
Fc1cc(-n2ncnc2)c(CNC(=O)C2=C(O)C(=O)N(C)C(C3CCOCC3)=N2)cc1,0.56739271,34 45 46 48,Active_65,1
Fc1cc(-n2c(C)ncn2)c(CNC(=O)C2=C(O)C(=O)N(C)C(C3CCOCC3)=N2)cc1,0.56735522,37 50 46 48,Active_66,1
Fc1cc(-n2c(C)cnn2)c(CNC(=O)C2=C(O)C(=O)N(C)C(C3COCC3)=N2)cc1,0.56735522,37 50 46 48,Active_67,1
Fc1ccc(CNC(=O)C2=C(O)C(=O)N(C)C(C3OCCCC3)=N2)cc1,0.56731737,30 33 34 36,Active_68,1
Fc1cc(-c2n(C)cnn2)c(CNC(=O)C2=C(O)C(=O)N(C)C(C3COCC3)=N2)cc1,0.56735522,36 49 45 47,Active_69,1
Fc1cc(N2S(=O)(=O)CCCC2)c(CNC(=O)C2=C(O)C(=O)N(C)C(C3CCOCC3)=N2)cc1,0.56735522,38 53 54 56,Active_70,1
Fc1cc(-n2c(C)cnn2)c(CNC(=O)C2=C(O)C(=O)N(C)C(C3CCOCC3)=N2)cc1,0.56735522,38 51 47 49,Active_71,1
Fc1ccc(CNC(=O)C2=C(O)C(=O)N(C)C(C3(C)SCCC3)=N2)cc1,0.56701219,29 37 38 40,Active_72,1
Fc1cc(-c2n(C)ncn2)c(CNC(=O)C2=C(O)C(=O)N(C)C(C3CCOCC3)=N2)cc1,0.56735522,37 50 46 48,Active_73,1
Fc1ccc(CNC(=O)C2=C(O)C(=O)N(C)C(C3(C)OCCC3)=N2)cc1,0.56701219,29 39 40 42,Active_74,1
Fc1cc(N2S(=O)(=O)CCCC2)c(CNC(=O)C2=C(O)C(=O)N(C)C(C3COCC3)=N2)cc1,0.56735522,37 52 53 55,Active_75,1
Fc1cc(-c2n(C)ncn2)c(CNC(=O)C2=C(O)C(=O)N(C)C(C3COCC3)=N2)cc1,0.56735522,36 49 45 47,Active_76,1
Fc1ccc(CNC(=O)C2=C(O)C(=O)N(C)C(C3=CCOC3)=N2)cc1,0.56733471,29 32 33 35,Active_77,1
Fc1cc(N2C(=O)N(C)CC2)c(CNC(=O)C2=C(O)C(=O)N(C)C(C3COCC3)=N2)cc1,0.56710428,38 49 45 47,Active_78,1
S(C)C1C(C=2N(C)C(=O)C(O)=C(C(=O)NCc3ccc(F)cc3)N=2)COC1,0.56735522,32 40 41 43,Active_79,1
S(=O)(=O)(N(C)C)c1c(CNC(=O)C2=C(O)C(=O)N(C)C(C3COCC3)=N2)ccc(F)c1,0.56735015,37 54 50 52,Active_80,1
S(=O)(=O)(C)c1c(CNC(=O)C2=C(O)C(=O)N(C)C(C3CCOCC3)=N2)ccc(F)c1,0.56735522,33 49 50 52,Active_81,1
S(=O)(=O)(N(C)C)c1c(CNC(=O)C2=C(O)C(=O)N(C)C(C3CCOCC3)=N2)ccc(F)c1,0.56735522,38 55 51 53,Active_82,1
Fc1cc(N2C(=O)N(CCOC)CC2)c(CNC(=O)C2=C(O)C(=O)N(C)C(C3COCC3)=N2)cc1,0.56757116,42 55 51 53,Active_83,1
Fc1cc(-n2ncnc2)c(CNC(=O)C2=C(O)C(=O)N(C)C(C3COCC3)=N2)cc1,0.56735015,33 44 45 47,Active_84,1
Fc1ccc(CNC(=O)C2=C(O)C(=O)N(C)C(C3COCC3)=N2)cc1,0.56733471,29 32 33 35,Active_85,1
Fc1ccc(CNC(=O)C2=C(O)C(=O)N(C)C(c3occc3)=N2)cc1,0.56733471,29 30 31 33,Active_86,1
Fc1ccc(Cn2c(C(=O)/C=C(\O)/C(=O)O)cc(-c3ccccc3)c2)cc1,0.31065983,31 36 35 33,Active_87,1
Fc1ccc(Cn2cc(C(=O)/C=C(\O)/C(=O)O)c(-c3ccccc3)c2)cc1,0.25977233,31 33 39 35,Active_88,1
Fc1ccc(Cn2cc(C(=O)/C=C(\N)/C(=O)O)c(-c3ccccc3)c2)cc1,0.2834605,31 36 37 38,Active_89,1
Fc1ccc(C(=O)c2cn(Cc3ccccc3)c(/C=C/C(=O)/C=C(\O)/C(=O)O)c2)cc1,0.12008439,32 49 48 50,Active_90,1
Fc1ccc(Cn2cc(C(=O)/C=C(\O)/C(=O)O)cc2)cc1,0.31056708,24 29 28 26,Active_91,1
Fc1ccc(Cn2c(/C=C/C(=O)/C=C(\O)/C(=O)O)cc(-c3ccccc3)c2)cc1,0.31073406,33 44 43 41,Active_92,1
